FLWS,NASDAQ,"1-800 FLOWERS.COM, Inc.",590950000.0,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,
SRCE,NASDAQ,1st Source Corporation,1280000000.0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,
VNET,NASDAQ,"21Vianet Group, Inc.",811130000.0,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet,
TWOU,NASDAQ,"2U, Inc.",3250000000.0,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,
JOBS,NASDAQ,"51job, Inc.",3830000000.0,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,
CAFD,NASDAQ,8point3 Energy Partners LP,1190000000.0,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,
EGHT,NASDAQ,8x8 Inc,1290000000.0,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,
SHLM,NASDAQ,"A. Schulman, Inc.",1130000000.0,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,
AAON,NASDAQ,"AAON, Inc.",1820000000.0,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,
ABAX,NASDAQ,"ABAXIS, Inc.",1040000000.0,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,
ABEO,NASDAQ,Abeona Therapeutics Inc.,667270000.0,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo,
ABMD,NASDAQ,"ABIOMED, Inc.",8720000000.0,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,
ABLX,NASDAQ,Ablynx NV,1570000000.0,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ablx,
ACIU,NASDAQ,AC Immune SA,680790000.0,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu,
ACIA,NASDAQ,"Acacia Communications, Inc.",1440000000.0,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia,
